I'm afraid there is little I can tell you that would be of any use.	I'm afraid there is little I can tell you that would be of any use.
You have to respect a man like Khaveen.  He does his job so very well.	You have to respect a man like Khaveen.  He does his job so very well.
I do not believe in such superstition as Ugarte.  Still, the man who caused the overthrow of the Emir is not a person whose name to use in vain.	I do not believe in such superstition as Ugarte.  Still, the man who caused the overthrow of the Emir is not a person whose name to use in vain.
It seems you do not drink.  Perhaps you do not trust my drinks?  Ha ha, heh.  You are indeed a dangerous man.  I like that.  You will do well in Raseir.	It seems you do not drink.  Perhaps you do not trust my drinks?  Ha ha, heh.  You are indeed a dangerous man.  I like that.  You will do well in Raseir.
We will reserve a room here for you tonight.  You will need to return here before dark, for it is forbidden to be out at night.  Join me this evening and we will talk some more.  I have some information which may prove useful to you.  I will see you later.  I have some thinking to do now.	We will reserve a room here for you tonight.  You will need to return here before dark, for it is forbidden to be out at night.  Join me this evening and we will talk some more.  I have some information which may prove useful to you.  I will see you later.  I have some thinking to do now.
But now, my friend, it is time we discussed some things together, you and I.	But now, my friend, it is time we discussed some things together, you and I.
I have little interest in such matters.	I have little interest in such matters.
That is not relevant to matters at hand.	That is not relevant to matters at hand.
There is nothing about Shapeir which interests me, except for what you have told me.	There is nothing about Shapeir which interests me, except for what you have told me.
I came to Raseir a little over a year and a half ago now.  A man of my stature has no problem making a profit out of any situation.  It is not profit that brought me here, though.  I came seeking... ah, but I see that I am boring you.  Enough of that subject.	I came to Raseir a little over a year and a half ago now.  A man of my stature has no problem making a profit out of any situation.  It is not profit that brought me here, though.  I came seeking... ah, but I see that I am boring you.  Enough of that subject.
The situation in Raseir has at its center a good deal of magic.  I, being a prudent man, do not let such things concern me.	The situation in Raseir has at its center a good deal of magic.  I, being a prudent man, do not let such things concern me.
The current Emir is but a stepping stone for the one behind the throne.	The current Emir is but a stepping stone for the one behind the throne.
It is said that all the wealth of Raseir remains in the palace.  That is not entirely true.	It is said that all the wealth of Raseir remains in the palace.  That is not entirely true.
Money is not truly what matters in this world.  It is what one gains from having money that is important.	Money is not truly what matters in this world.  It is what one gains from having money that is important.
This is the Thieves' Guild, my dear sir, and I am the man who controls it.	This is the Thieves' Guild, my dear sir, and I am the man who controls it.
The Blue Parrot is the very center for life in Raseir.  Everybody goes to the Blue Parrot.	The Blue Parrot is the very center for life in Raseir.  Everybody goes to the Blue Parrot.
The fountain of Raseir dried up last year around the time that the Emir first was missed.	The fountain of Raseir dried up last year around the time that the Emir first was missed.
There are no secrets in Raseir.  At least, none I am willing to spread.	There are no secrets in Raseir.  At least, none I am willing to spread.
I am Ferrari.  You may call me Signor Ferrari.	I am Ferrari.  You may call me Signor Ferrari.
You have nothing to drink.	You have nothing to drink.
The drink you ordered resembles nothing you've dared to drink in the past.  Therefore, it must be a Djinn Sling.	The drink you ordered resembles nothing you've dared to drink in the past.  Therefore, it must be a Djinn Sling.
The cup of black liquid before you more resembles coffee than a Djinn Sling.  Come to think of it, you did order coffee.	The cup of black liquid before you more resembles coffee than a Djinn Sling.  Come to think of it, you did order coffee.
You don't have one of those, but you pick up the glass in front of you.	You don't have one of those, but you pick up the glass in front of you.
Have patience!  The bartender doesn't seem too interested in moving quickly.	Have patience!  The bartender doesn't seem too interested in moving quickly.
It looks more like a Djinn Sling.	It looks more like a Djinn Sling.
It looks fizzy and dangerous.	It looks fizzy and dangerous.
It looks more like coffee.	It looks more like coffee.
It looks like brown ooze.	It looks like brown ooze.
The drink is sweet, with a very bitter aftertaste.	The drink is sweet, with a very bitter aftertaste.
You drink the bitter, thick liquid.	You drink the bitter, thick liquid.
It has an odd, almost chemical, taste.	It has an odd, almost chemical, taste.
You feel strange for a few seconds, but the feeling passes.  Ferrari starts to ask some very probing questions, but you evade most of them.	You feel strange for a few seconds, but the feeling passes.  Ferrari starts to ask some very probing questions, but you evade most of them.
You are a very closed-mouth individual.  You handle your drink very well.  I trust you will handle yourself in Raseir as well.	You are a very closed-mouth individual.  You handle your drink very well.  I trust you will handle yourself in Raseir as well.
You feel a bit odd.  Signor Ferrari smiles at you and starts to question you.  He is particularly interested in Shapeir, and questions you thoroughly.  You are having a difficult time trying not to say too much.	You feel a bit odd.  Signor Ferrari smiles at you and starts to question you.  He is particularly interested in Shapeir, and questions you thoroughly.  You are having a difficult time trying not to say too much.
Humm, there is much to what you say, and much more to what you don't say, I suspect.	Humm, there is much to what you say, and much more to what you don't say, I suspect.
You start to feel a bit dizzy.  Signor Ferrari smiles at you and starts to ask questions about yourself.  You find yourself answering, telling your friend all about your adventures.  He is particularly interested in Shapeir, and questions you thoroughly.  After a while, though, you start to get a headache.  Ferrari frowns.	You start to feel a bit dizzy.  Signor Ferrari smiles at you and starts to ask questions about yourself.  You find yourself answering, telling your friend all about your adventures.  He is particularly interested in Shapeir, and questions you thoroughly.  After a while, though, you start to get a headache.  Ferrari frowns.
You have led a most interesting and charmed life, it seems.  But it would take a miracle to restore Raseir, and Khaveen has outlawed miracles.  You are very dangerous to me, for your actions will have serious repercussions.  Nevertheless, you may have your uses.	You have led a most interesting and charmed life, it seems.  But it would take a miracle to restore Raseir, and Khaveen has outlawed miracles.  You are very dangerous to me, for your actions will have serious repercussions.  Nevertheless, you may have your uses.
Now, now.  Pleasure before business.  Here come our drinks even as we speak.	Now, now.  Pleasure before business.  Here come our drinks even as we speak.
Let us drink to our fortunate meeting!	Let us drink to our fortunate meeting!
I am very pleased to make your acquaintance.  I have heard much about you already.	I am very pleased to make your acquaintance.  I have heard much about you already.
Ugarte, here, provides an invaluable service to this community.  He obtains for others things which are otherwise unattainable.	Ugarte, here, provides an invaluable service to this community.  He obtains for others things which are otherwise unattainable.
For a nominal fee, of course.	For a nominal fee, of course.
It seems he has some information for you.	It seems he has some information for you.
A rumor, perhaps, that may influence your actions.  I will be happy to share such information for, say, five dinars?	A rumor, perhaps, that may influence your actions.  I will be happy to share such information for, say, five dinars?
Well, seeing as you are a hero and all, perhaps we could settle for say, 3 dinars?	Well, seeing as you are a hero and all, perhaps we could settle for say, 3 dinars?
I am sorry, but I am just a poor businessman.  Surely a hero such as yourself can spare a few measly dinars for information which might save his life?	I am sorry, but I am just a poor businessman.  Surely a hero such as yourself can spare a few measly dinars for information which might save his life?
Forgive me, %s, but I do not accept foreign coin.	Forgive me, %s, but I do not accept foreign coin.
You find you do not have the money.  Ugarte quickly loses interest in you.	You find you do not have the money.  Ugarte quickly loses interest in you.
Well, what kind of hero are you?  You come into town acting like you are a wealthy man, and make poor honest businessmen such as myself work for nothing.	Well, what kind of hero are you?  You come into town acting like you are a wealthy man, and make poor honest businessmen such as myself work for nothing.
Khaveen has sent the word out to his men that you are to be watched at all times.  It seems that, ah, Someone is very interested in your actions.  You should be aware that Khaveen does not usually greet strangers at the gate.  You were expected.	Khaveen has sent the word out to his men that you are to be watched at all times.  It seems that, ah, Someone is very interested in your actions.  You should be aware that Khaveen does not usually greet strangers at the gate.  You were expected.
Why would He take an interest?	Why would He take an interest?
There is the little matter of a prophecy to be fulfilled and this one may be the one.	There is the little matter of a prophecy to be fulfilled and this one may be the one.
I suspected before that you were a very dangerous man to have around, %s.  It seems I am correct.	I suspected before that you were a very dangerous man to have around, %s.  It seems I am correct.
Still, it will be very interesting to see how this game plays out.  You may stay tonight in the first room past the door on the left.	Still, it will be very interesting to see how this game plays out.  You may stay tonight in the first room past the door on the left.
You may live to regret arriving here with no money.  Do you think to live on charity?  Wilmer, show our poor hero here to quarters more fitting his purse.	You may live to regret arriving here with no money.  Do you think to live on charity?  Wilmer, show our poor hero here to quarters more fitting his purse.
Just tell me if you have the bird!	Just tell me if you have the bird!
Of all the djinn joints in all the world, you had to walk into this one.	Of all the djinn joints in all the world, you had to walk into this one.
A hush comes over the bar as people notice you and eye you sullenly.	A hush comes over the bar as people notice you and eye you sullenly.
Come join me here, my dear sir.  You are still a novelty in Raseir, and I take a vested interest in all things new.  It is time we discussed some things together, you and I.	Come join me here, my dear sir.  You are still a novelty in Raseir, and I take a vested interest in all things new.  It is time we discussed some things together, you and I.
It is a pity about our friend Ugarte, is it not?  I can see you are as broken up by the affair as I am.	It is a pity about our friend Ugarte, is it not?  I can see you are as broken up by the affair as I am.
However, it seems he asked someone the wrong questions about you.  That was just a performance put on for your benefit this morning.	However, it seems he asked someone the wrong questions about you.  That was just a performance put on for your benefit this morning.
Khaveen has known about Ugarte's water smuggling for a long time.  A most dangerous man, Khaveen.  Almost as dangerous as you are.	Khaveen has known about Ugarte's water smuggling for a long time.  A most dangerous man, Khaveen.  Almost as dangerous as you are.
Do you have it?  Do you have the bird?	Do you have it?  Do you have the bird?
Will you look what crawled in from the desert?  He has been out in the sun so long, his hair has gone yellow!	Will you look what crawled in from the desert?  He has been out in the sun so long, his hair has gone yellow!
If you wish to discuss something to our mutual advantage, come sit down.	If you wish to discuss something to our mutual advantage, come sit down.
Now, now, Wilmer, he is a stranger to our fair city.  You wouldn't want to give the wrong opinion about the hospitality of Raseir.	Now, now, Wilmer, he is a stranger to our fair city.  You wouldn't want to give the wrong opinion about the hospitality of Raseir.
Come here, stranger.  I see you have already made the acquaintance of Khaveen, our illustrious Captain of the Raseirian Guard, so perhaps you already have an idea of Raseirian hospitality.  Come here, sit down, and let us have a little chat, you and I.	Come here, stranger.  I see you have already made the acquaintance of Khaveen, our illustrious Captain of the Raseirian Guard, so perhaps you already have an idea of Raseirian hospitality.  Come here, sit down, and let us have a little chat, you and I.
You give Signor Ferrari the bird.  A puzzled look crosses his face, and suddenly you realize that he was referring to the Black Falcon.	You give Signor Ferrari the bird.  A puzzled look crosses his face, and suddenly you realize that he was referring to the Black Falcon.
Bring it here, quickly.  Give it to me!	Bring it here, quickly.  Give it to me!
No?  No?  What do you mean, "No?"	No?  No?  What do you mean, "No?"
You leave Ferrari a sorely disappointed man.	You leave Ferrari a sorely disappointed man.
Perhaps you did not hear me.  I asked if you have the bird.	Perhaps you did not hear me.  I asked if you have the bird.
I said give me the bird!	I said give me the bird!
You slept fitfully, dreaming of rat-like monsters pulling at you.  In your dream, you felt cruelly exposed, but you re-covered.	You slept fitfully, dreaming of rat-like monsters pulling at you.  In your dream, you felt cruelly exposed, but you re-covered.
Signor Ferrari sends his regrets, but he had some rather disturbing news.  He will talk to you this evening.	Signor Ferrari sends his regrets, but he had some rather disturbing news.  He will talk to you this evening.
As you enter, the sounds of the bar go still.	As you enter, the sounds of the bar go still.
It has been a pleasure dealing with you, my dear sir.	It has been a pleasure dealing with you, my dear sir.
You are led out of the Blue Parrot, where you are quickly arrested for vagrancy.  You spend a long while in Khaveen's dungeon, after all.	You are led out of the Blue Parrot, where you are quickly arrested for vagrancy.  You spend a long while in Khaveen's dungeon, after all.
Ferrari is fat, but his patience is thin.  Your delay has cost you his hospitality.  Without a place to spend the night you are arrested for vagrancy and thrown into Khaveen's dungeons.	Ferrari is fat, but his patience is thin.  Your delay has cost you his hospitality.  Without a place to spend the night you are arrested for vagrancy and thrown into Khaveen's dungeons.
You wander out of the inn and are promptly arrested for vagrancy.  Had you not angered Signor Ferrari, you might have received a friendly warning first.	You wander out of the inn and are promptly arrested for vagrancy.  Had you not angered Signor Ferrari, you might have received a friendly warning first.
As you leave the room, you watch the jovial expression harden to a glare.  It is obvious that Signor Ferrari is not used to being ignored.  You also find that you are no longer welcome at the Blue Parrot Inn.  Since you have no place to spend the night, you are soon arrested for vagrancy.  It is hard to be a hero in the bottom of a dungeon.	As you leave the room, you watch the jovial expression harden to a glare.  It is obvious that Signor Ferrari is not used to being ignored.  You also find that you are no longer welcome at the Blue Parrot Inn.  Since you have no place to spend the night, you are soon arrested for vagrancy.  It is hard to be a hero in the bottom of a dungeon.
Ferrari looks at you, his eyes glinting with malign greed.  He says he will not be thwarted by some half-baked hero.  Suddenly you feel something behind you and find Wilmer grinning with two thin daggers against your back.  The last words you hear are "The Falcon.  I finally have the Falcon."	Ferrari looks at you, his eyes glinting with malign greed.  He says he will not be thwarted by some half-baked hero.  Suddenly you feel something behind you and find Wilmer grinning with two thin daggers against your back.  The last words you hear are "The Falcon.  I finally have the Falcon."
Ferrari looks at you, his eyes glinting with malign greed.  He says he will not be thwarted by some half-baked hero.  Suddenly you feel something behind you and find Wilmer grinning as he presses two thin daggers into your back.  The last words you hear are "It seems I must keep searching for The Falcon."	Ferrari looks at you, his eyes glinting with malign greed.  He says he will not be thwarted by some half-baked hero.  Suddenly you feel something behind you and find Wilmer grinning as he presses two thin daggers into your back.  The last words you hear are "It seems I must keep searching for The Falcon."
Even as you start, you feel a dagger strike you and see another gleam in Wilmer's hand before he throws it.  Then you see nothing at all.	Even as you start, you feel a dagger strike you and see another gleam in Wilmer's hand before he throws it.  Then you see nothing at all.
When Signor Ferrari realizes that in fact you do not have the black Falcon, he frowns and motions quickly to Wilmer.  Before you can turn, you hear the characteristic "thuk" of a knife imbedding itself into a back.  Your back.	When Signor Ferrari realizes that in fact you do not have the black Falcon, he frowns and motions quickly to Wilmer.  Before you can turn, you hear the characteristic "thuk" of a knife imbedding itself into a back.  Your back.
Slurred speech... unsteady gait... Yup.  You're dead, alright.	Slurred speech... unsteady gait... Yup.  You're dead, alright.
